rotulo,texto
1,"Shaw Blades Influence Review Great album - good song choices. Tommy Shaw still can sing the high notes like when he was 20. I saw them live, and went out and got the album right after - it was not a disappointment. These guys are real pros, and bring something new to a lot of these songs while giving tribute to the originals.Great acoustic and electric guitar work."
1,"Hot Buy on a Cool Glass I am so happy I found these glasses. They keep my beverages ice cold and the ice in the glass keeps for hours. Well worth the money, just sad you can't buy replacement inserts."
0,"one sigma handbook This book came with six pages of Errata. Even with that, I still found multiple mistakes throughout the book. This book about Six Sigma was written on the one sigma level. I would not recommend this book to anybody. You cannot trust this book!"
0,"the ubearable pain to watch This movie is the lamest peice of pseudo-intellectual crap I have ever seen. It is painfully self-serious and a major bore. This is porn for those who would never confess that they watch porn. If you want to see a good movie about human relations, go get ""Besieged"" by Bertolucci."
0,"To put it more succinctly..... There is nothing innovative in this book. What was innovative of Tolkien, LeGuin, and Mcaffrey has been regurgitated in Eragon. It is remarkably well done for a teenager's mimicry of greater works, but will remain just that. Mimicry. Two stars instead of one because it was readable."
1,"I loved every minute of the cd I feel that version 2.0 was one of the best cd's of the year. It should have won a grammy. as well as the first cd 2.0 delived great vocals,gutair and a good beat. there is no need to skip tracks because all of them are well tuned to the point of profection. 2.0 is a must for anyone that enjoys rock or alternative. 2.0 the bands second cd shows improvement from there first album which was also a great album."
0,"Total Ineptitude First of all, the wrong product was shipped. I ordered the smaller light and the 11 inch version was sent.Secondly, the on/off switch on the light is very balky and requires an extreme amount of pressure to activate. The light was ordered as a Christmas present so there wasn't enough time to return/replace it. I'm sure I would have to eat the shipping charges which makes this item an albatross."
1,"Outstanding performance I got to see this talented duo perform live twice last year, and was thrilled when they released their first recording. I love their program - quite varied and different from what any other duos out there are playing. The performance is pristine, and the recording quality is great, with nice stereo separation between them (I believe Risa in on the left channel?). My only gripe is that the recording level is a bit low, so you've got to crank the volume quite a bit (still sounds great though, especially w/ headphones). The Prelude, Fugue and Variation by Franck alone to me is worth the price of the disc, I can't get enough of that haunting theme. This is my favorite CD purchase of the past 6 months."
0,"Unimpressed I would never understand why this novel was on the very top of the Modern Library's 100 best novels of all time, on the ""Board's List"", no less. I guess it is there because some authority had once said that it was the best. And once done, nobody dares to contradict the edict, for if you disagree, you are just not seeing the greatness the experts are able to see. The same way all ""educated"" opinions say that Munch's Scream and Picasso's Guernica were great art, that Citizen Kane was the best movie ever made, or that the Emperor's new clothes were most beautiful!"
0,ATTENTION! NOT WHAT YOU THINK! The movie itself is FANTASTIC BUT beware that this is NOT the original 1986 movie. It's the Special Collectors Edition that's been remastered and includes foul language. The only way you'd know that is if you happened to mouse over one of the extra thumbnail images (and who does that?!).
0,"I am being gererous giving this one star!! What you have here it the single most worst cd ever made.How someone thought it was a good idea to take Hank Sr.'s low-fi mono recordings, peel off his voice and put it in modern, digital stereo surrounding is beyond me.Imagine Hank Jr. singing a line, then a great guitar solo, then Hank III taking a vocal turn, then a guitar solo, then Hank Sr. coming in with vocals that seem to come off an lp that was found lying in the gravel somewhere at a flea market.It is beyond bad. Not a good idea, and nothing like ""There's a Tear in My Beer."""
0,"So-So She has a good voice and all, but she really needs to think before she goes and starts talking. For example, in the song"" Doo Wop, That Thing,"" she's basically dissing women that have ""hair weaves like Europeans."" But if you notice her hair in the video- guess what? She's wearing a hair weave too, or else a bad wig. I can't tell. In the song ""Superstar"", she's dissing rappers who sample 70's music. But what's that in the background of the song? A retread of the Doors' ""Light my Fire""! Somehow when I was listening to ""Superstar,"" the words ""KILLING ME SOFTLY WITH HIS SONG"" took on a great deal of significance. And her rapping is obviously jocking Lil Kim's style (without the cussing, of course) I could have sworn I heard the line ""It's all About the Benjamins."" Look, she's a good singer and all, but on this album she's overly opinionated to the point where I didn't really like this album."
0,"What About the Rest of US? I gave this book one star because the author, in the beginning of the book, gives me useful information about the signs of having a gifted child. That is one of the reasons I bought the book and some of the information was useful.Now, on to the rest... Upon reading this material, I found it to be a self pat on the back from the author on her impressive portfolio of wealthy clients. I found plenty of information if I were an extremely rich person living in a community where the schools for the gifted were plentiful. All of her clients were fabulously well to do and their children were profoundedly gifted. So what about the rest of us? My husband is gainfully employed and I am a student. We have a modest income and our son is gifted. We found little practical advice for ordinary working parents. If you gross less than $200,000 a year, I would try another book."
0,"Buyer beware After a single day's use the DC adapter quit working. In order to get the necessary replacement, the warranty requires that you mail the entire unit back to Audiovox.This is a hassle that I did not anticipate having to deal with the day after receiving the player in the mail.Thanks for nothing Audiovox."
0,"Uhhhh... Umm... There is little to like about this movie... But I can't bring myself to give it only one star. Probably because the fight coriographer seemed to put so mush effort into the thing... too bad most of the fight scenes were either too dark to see what was going on, or badly shot making the fight scenes a confusing mess. Anyway, I was actually going to write a much longer review of this movie, but there is no way I could do better than wild_man_dave from Austin who said just about all that needed to be said. The only thing that I want to add is that if you are a fan of the Musketeer books like I am the only way you will ever enjoy this movie (even as a cheesy action) is to make sure you see this movie as having no connection what so ever to the Musketeer books."
1,"Altitude IV I have been buying Hi-Tec for years. When I found the Altitude IV I fell in love instantly. This shoe fits great, has little break in time and still holds its sturdiness as it ages. Well recomended."
1,"Pros and cons I have 2 fleece ones. Got one as a gift and then I bought an extra one later because baby spits up sometimes.Pros:Baby sleeps peacefully in itCan wrap the baby's arms tight so she doesn't squirmMakes breastfeeding easier -- no hands in the way!Cons:The bottom part where her legs go is not long enough-- it starts her kick-reflex and it frustrates her sometimes. I have to shush her for a few seconds then she forgets about the problem.My baby slides down into the bottom part sometimes (even though she is wrapped tightly) and the top part of the wrap starts to cover her mouth and eventually her nose. I have to re-wrap her when this happens (this happens mostly after I burp her after feedings). She does not like the process of being wrapped, so I have to calm her down.I would still buy another one of these if needed and I do plan on getting the bigger size once she gets longer/bigger."
1,"adidas Kids' Absolute TRX Firm Ground Soccer Shoe,White/Black/Gold The price was perfect for a brand new cleat. It wasn't shipped as fast as another competitor and was delayed by 1 day. However, the price made up for the time of delivery."
1,"""Truly Anointed"" Praise The Lord Vickie!Just wanted you to know i really enjoy this cd it really ministers to me my favorite is, STAY WITH ME. Everytime I listen to it, it has it's way of getting in my heart the words are powerful and gripping. stay encouraged vickie. keep 'em comin. Love you always and your music. Thanks for sharing it. Be Blessed!"
1,Having a Ball! Received this ball yesterday and was impressed that it came with both a pump and a DVD/CD with instructions for use. It took about 10 minutes to pump it up and it was immediately ready. I have not viewed the DVD yet and I have not read any of the instructions yet. I got some professional introduction to how to use the ball from my physical therapist. The quality of the ball is SOLID and it looks like it will last for a long time to come. The price on Amazon is better than local stores. I am very happy with my purchase and would recommend it to anyone that would listen.
1,"Pleasantly surprised Looked for Farberware pans in the past but none compared with the quality of my 53 year old ones. Thought I'd give Amazon a try. Pleasently surprised, the quality was comparable to our 53 year old wedding gifts, so happy I took the chance!"
0,"Krappy Handheld MK Game First of all...let me say,that I am a HUGE MK fan,but oh my god...this game sucks! This is a TERRIBLE version of MK3.The fighters move VERY slowly and it is SOOOO HARD to pull off a single special move...let alone a fatality!!! The sound is terrible,the music is all muffled.Although the graphics are decent,this game is a komplete letdown.If you want a great MK game for the Game Boy,pass this piece of krap up and buy Mortal Kombat II instead.It's A WHOLE LOT BETTER!!!"
0,"Looks like old product!! I useally buying dipers from amazon.com. However, the dipers on this box are looks like old. Also, I can see the brown spots on the surface. I really want to return it, but I already opened and used some. Check your diper all the time!!"
0,"I don't know about this edition, but 1st was crap. Try... Buy ""The Synonym Finder"" if you want a REALLY good thesaurus. I am only familiar with the first edition of ""Roget's II,"" but I consider that edition to be among the worst volumes in print."
1,"Tour de Force I read this book twice, and it still stands out in my mind as the most creative use of English in the history of the language. Taking the plot of a classic work is not unique, the way it was executed in this book was. Ulysses doesn't explore any of the great secrets of life. It doesn't seek to take on some great social issue. It is just a great work of art. It is difficult to understand, but with such an ambitious work this is no surprise. Any fan of English literature needs to read this."
0,"The Complete Fraud This book pretends to be ""A Comprehensive Dictionary .....(of) Military Terms"" But most of the entries are not military at all, and a a majority of them are surely known to any third grade child... I want a refund on the money I spent for it!."
1,"Good Coverage of Material. Because the topic is changing so quickly, it is difficult to publish a current book on XML. Even with this disadvantage, the book gives the reader the information needed to understand how XML works, what its potential is, and generally how to implement it. I have two negative comments:1. The book is a too cursory with emerging technologies which will be the mainstay of the technology: DOM, XSL, XSLT, SAX. These parts are critical for implementors and should have been discussed more thoroughly.2. For a book on markup, they should have gotten the table of contents marked up correctly.On the whole, an excellent book. Very readable."
1,"Nice Collection of Christmas Classics I bought this for my sister for Christmas. She really likes the old Christmas movies that are included in this case. I was pleasantly surprised to find that there were four, clearly labeled dvds in the case. Each disk displays which episodes/shows are contained on them. It is very convenient, in case you get them mixed up."
1,"Refreshing taste of industrial style music With fewer of our favorite bands (i.e. NIN and Orgy) producing exceptional industrial/electronic music, this ablum renews taste for this style of music. The band brings their own touch to this genre of music. This is my first album of 16 Volt to listen to. The album stretches from the high energy, heavy metal 'Suffering You' to the mellow and deep 'You Run'. It's an instant favorite for fans of Filter, Angels and Airwaves, the Killers, Orgy, and NIN."
0,"Illustrations This is a reprint of a previous book. While the text is fairly good, it makes references to many illustrations which are not in the reprinted edition. Therefore, I would not recommend it!"
1,"Hard to Find Original Cooky Book Our original copy of this book was worn from over 30 years of use. After many requests for the holiday cookies made from the recipes from this book, this inexpensive cookbook was an ideal Christmas gift for family and friends."
0,"Wrong dimensions Size listed was not correct so this did not work for me. The actual size is 5 1/2"" in diameter."
0,"High expectations fell short in the end Although this was the first and only Michener novel I have read, I think it was a poor choice. My expectations going into reading were quite high, but by the end of this novel I was very disappointed. The story was decent, however the plot was very thin. I had alot of trouble relating to the characters. I could not figure out if Luton was just a snob, or a real caring person that was afraid to show his emotions. The deaths were very predictable, and to be quite frank the ending just sucked! What a let down, Luton just leaves the same day he gets to Dawson like he is supposed to be some kind of hero or something. Luton just made me angry the whole story especially the way he treated Fogerty, at the end I am very surprised he paid for his telegram. Definitely not the greatest book in the world."
1,"Darren Shan's Mountain Climb In Cirque Du Freak ""Vampire Mountain"" Darren Shan is starting his adventure up Vampire Mountain. Vampire Mountain is a mountain that the inside is a giant home for vampires. During his adventure Darren comes across a family of wolves. He named the Alfa male ""Streak"". He named the cub ""Rudi"" but he did not name the she-wolves. Before he leaves the Cirque they go up Vampire Mountain, Mr. Tiny-his first name is Desmond so when you put it together its Destiny-sent two little people with them. On the way one died, and the other gave a scary message that the vampaneze lord is coming. When Darren got to the top of vampire he discovered that when all the vampires get to Vampire Mountain a ceremony takes place.In the book I had a few questions. Like, ""what are the trials of initiation?"" But it was never answered. The author captured me with this book. He used a lot of explanatory words. I also like horror books about vampires. I give this book five out of five star."
1,"perfect diaper ive been purchasing diapers for years.these are perfect they are soft,absorb well even at night.they work better than the new cruisers.i have bought these and cruisers,the old ones worked well.the new ones leak everywhere especially infront.i have never had a poo leak from these diapers.unless your child has diarrhea there shouldnt be any leaks.these are also a better value than the cruisers."
1,Grandson LOVES this DVD Thank you for the prompt delivery and it was in great condition. My grandson loves it! Thanks!
0,BAD COPY of a Great Movie This is a terrible copy of a good movie. The film is dark in scenes making some of it unwatchable. Some scenes are cut together in imovie or something. Also (as mentioned in another review) some sound effects are missing. The Rankin Bass cartoon is great but this is a pirated disc or copy of a torrented file. THIS IS A BAD BUY.
1,"ISS Research Creatine. Good Product I HAVE SEEN ENERGY AT THE GYM, EVEN WHEN I RAN. NOT SURE IF IT'S FROM THE CREATINE BUT I KNOW ISS RESEARCH MAKES GOOD STUFF BECAUSE FIRST TIME I USE THE GLUTAMINE THAT STUFF WORKED REALLY GOOD.THEY'RE NOT FLASHY ABOUT THEIR PRODUCT; DON'T ADD CRAZY FLAVORS AND WHAT NOT, BUT THEY DO MAKE GOOD PRODUCTS. EVERYONE'S BODY IS DIFFERENT SO EXPERIMENT WHICH WORKS FOR YOU."
1,Fly Boys A very good account of WW1 flying aces. With a story line added to keep interest it realisticly accounts our early participation in WW1. With violent content viewers should be aware that it is not suited for younger viewers.
0,"Problems with HP laptop I bought this product to assisst in upgrading my HP laptop hard drive. I was able to clone my old drive, but when I replaced the old drive with the new, the laptop wouldn't boot. Upon further investigation (and help from an engineer friend), I have learned that HP has a hidden system partition, and the cloning software was unable to access these tiles. So I'm stuck until I can get expert help, and even then, it may not work. Bottom line is it's not so EZ after all."
0,"Big Letdown As a lover of Street, I was very excited to hear about this game and bought it immediately. To my surprise, its not even a tenth as good. This game is five on five with only street players (i had a feeling that was coming, with no NBA endorsement on the cover) and boring backdrops. There is just too much going on on the court in order to really have fun with street style moves. I also think the arial attack could be made more interesting. It plays like a generic basketball game with the addition of ankle breaking moves, which is a big step down from NBA Street, which was more like the Arcade NBA Jam style of ballin'. I returned this game after a day, and bought Slugfest instead. At least I can punch gayrod now."
1,"GREAT STUFF.. a great way to make kids familiar with some of the greatest books ever written, in fact me being 14years old read the book after watching the hobbit animated film,another great way to turn kids towards books"
0,"What a JIP!!! This is the worst LOTR game ever!!! It takes hours to figure out the damn forest, and a lot of other crap!! My brother bought itoff ebay, and only played it once. The graphics suk, the battle is turn based and slow, and it cost us 30 friken $$!!! Don't listen to the other reviews. This game sux. Buy Return of the King and forget about dis."
1,"""Bang"" is a blast Not trying to force anything revolutionary or chart-busting, the Stones wind up hosting an intimate little party of an album. All the friends you've come to know and love are here -- the ballsy rockers, the funk work-outs, the blues blasts, the swaying ballads. And the Stones treat all of them to playing that's pretty much unparalleled at this point. This is a band that actually sounds like a band -- the instruments talk to each other, the songs tilt and swerve, the energy is authentic. ""Bang"" isn't the orgy that was ""Exile"" or ""Sticky Fingers"" or ""Some Girls."" But it is a good time."
0,"Cobra Antenna This is a very poor product! On my first trip, it fell of my car roof at 40 MPH. Not nice.It is clear that the base is insufficient for an antenna of this length."
1,"A Book For Our Times Lavinia Plonka's book What Are You Afraid of? is certainly a book for our times. It seems that fear is everywhere, in our political, social, and private lives. I found this book enormously insightful. The author is direct and honest in her approach to acknowledging fear and gaining mastery over it. What I particularly found helpful was the focus on ACTION - do this and help is on the way. Ms. Plonka's extensive background in the Feldenkrais Method and her years as a performer lend credence to the exercises she offers here. The illustrations were a delightful bonus."
1,"[When You Gonna] Give It Up To Me I really like this song and I haven't had a chance to buy it yet but I plan on buying this with the other song ""It's So Fine"" by Sean Paul. I got the ""It's So Fine"" album and I have been trying to collect all of his past albums so I can listen to them when I'm driving in my car. Great listen."
1,"Wow. So You Want to Be a Wizard is the book that the first of the Harry Potter's books really wanted to be, and almost became. While tapping into the universal desire to be somebody Great and Important, the Duane book does it in a way that is identifiable not just by but with every child who has felt like an outsider. (Which is to say: with every child.)Oh, stop reading these reviews and just order the book. It's that good."
1,"Great book! I am sorry Ivy... with all do respect this book was great, I could have never written anything not even close to this at 18.To Christopher Paolini, MY RESPECTS TO YOU, you made me cry, laugh, scream, maybe I am a wuzzz but I cried just because the book ended and I have to wait who knows how long to read the next book...I takes many authors years and years to reach your level and don't let bitter women who have no soul get you down, Listen to your heart and feed from the good and bad comments, ignore the crazy ones like the one from ivy and give me more!!!! To all who are reading this... U need to have a special soul to feed from fantasy if u have it, and if u like to dream get this book, it made me dream for many hours. Thank you Christopher!"
0,"What was Angela thinking? I love Angela Thirkell's books--she is one of my favorite authors along with Trollope and Austen. But she wrote a few clinkers, and this is one of them. I would have guessed that Georgette Heyer wrote this book, in a blind test. It has all the cloying archness of the (only) book by Heyer I read and which I forever associate with Regency romances. Of course, this IS a Regency romance--NOT one of her wonderful Barsetshire books, so maybe it was a misguided experiment."
0,Its little hard.. The way he used to explain the topics are confusing..I was very excited to buy this book but found it difficult instead of having C and C++ knowledge.
0,Did not like at all. I Just did not like the story line.Ii was not able to get into the story. Didn't even finish the book.
0,"Touche e'clat I've always been a fan. However, this missed the mark. It arrived quickly and looked like it has in the past. However, upon application it was a very very dry consistency. Perhaps it had been on the shelf for a long time, hence the lower price??? probably won't try it again."
1,"A personal look at the life of Queen Victoria I bought this set thinking it would be just another movie to add to my growing costume drama collection. I was really wrong. From the first minutes of this movie the viewer is hooked. I was amazed to find out how Queen Victoria became Queen, how she struggled with her mother and how she picked a husband.I must say A&E did a great job portraying the lives of these well known people. I really felt as though I was there living out her life.The costumes are great, acting is supurb and nothing could be improved on save for the fact that it wasn't long enough and tons of time was skipped.Good job and a great movie. I would reccomend to anyone who wants to learn more about Queen Victoria or someone who just loves good movies!"
1,Great Book! I'm an avid self-development reader and rarely do I find such refreshing viewpoints... This book is broken down into quick and easily digestible snippets. Buy this book!
0,"lead is wrong Solid cast, with the exception of the lead. Rooker from the first one should have been back, as well as the original director and writer: John McNaughton and Richard Fire, respectively.This director here doesn't seem to get suspense--and it hurt the film. There is just no beating the original. Too bad McNaughton and the rest from the first flick did not come back for an encore--because now, even if they did, it might be way too late.It's kind of sad, because McNaughton might have had a far bigger/impressive film career if he had.Skip this one. See the original (20 year anni issue, etc.). It will give you chills."
0,false information on cb antenna Just like a lot of you i had the same problem happen to me i got the wrong cb antenna. It upsets a lot that amazon false advertised this item i was looking forward to the 1500 but all i got was a bottom of the line antenna. Before you buy this item please read the reviews and make sure if you going to get this item you'll get the wrong one.
0,not what i expected the name of the song atthe beginning of the dallas carter game is refused: new noise
1,the hitman Chuck Norris does his usual dry one liners while kicking butt style of movie. very entertaining movie.
1,"The classic tale of the war that never happened. I think this was the novel that made Clancy famous, and if correct then rightfully so. Red Storm Rising is the story of a conflict between the Soviet Union and NATO over oil, after terrorists strike at Russian Oil production. NATO is seen as the major obstacle to the conquest of the middle eastern oil fields, so it must be taken out first. The main action of the book revolves around the taking of Iceland by Soviet paratroopers brought in by ferry, and they efforts of the United states to take the island back. There is plenty of action described in Central Europe and other areas as well, as the friction of war and unexpected resistance slow the Soviet advance. This book is not as well written as Clancy's later books, but is still a good read and of interest to anyone who asks the question, what if America and the Soviet Union had actually clashed head to head in the late twentieth century."
0,"Not as advertised Exactly what I wanted--a well constructed nonstick saucepan. However, it was listed as suitable for induction cooktops and it did not work on mine."
0,"My Honest Review of Eragon/Eldest I read this a few years ago because it was the latest craze. A fifteen year old (who finished it when he was 19) wrote a 550 page book! Most teenagers aren't exactly great writers, so I felt I had to check this out.The book? 550 pages of derivativeness, pointless description (especially that of a certain elf's cleavage), and a carbon copy of Star Wars. For starters, 80% of the book is description of either the terrain or of hot elves, and yet I have no idea what the main character looks like. Not to mention the fact that Paolini obviously wrote it with a thesauras by his side. Machicolated?! We have no idea either. I'm not sure whether that was in Eragon, or Eldest, but what the hey?And then the plot. Yaargh. Take Star Wars, set it in medieval times, replace robots with dragons, and take out any originality. That's basically the plot. And as for Eldest, take everything I said here and multiply it by 5. Yup. It's that bad."
1,"keurig single serve coffee maker This is very easy to use. There are k cups for regular coffee, decaf, tea and hot chocolate. Being a non-coffee drinker, i can make a cup of coffee for someone and know that they it will be just right! I can have hot chocolate while someone else in the family has coffee. It brews quickly. I am very glad we bought this machine."
1,"A household name... I loved this movie when I first saw it, and still love it, after seeing it about 30 times. So who cares if the trick blower can't be made? Everytime I think about replacing my gas guzzling 454 truck, this film reminds me that there really ain't many things in life as sweet as a rumbling V8. A perfect guy movie. For whatever reason, most women just don't get it. BE WARNED though. The original release was overdubbed with cheezy american voices. Amazon does not carry the restored version. We all know what Mel Gibson's voice sounds like, and listening to some bad voiceover now makes me want to puke. Please Amazon, carry the original, letterboxed version on VHS."
1,"Nice I had order this for my grandson,it was required reading at his school. He read it in less then 2 days and enjoyed the book very much. They got it out to me fast and would re-order from them again."
1,"Ideal for the occasional casual photograph Not a bad little camera with plenty of enhancement products still available for purchase. Although not state-of-the-art, this little camera does the job for the casual user, incorporating the basic features most wanted. It gives the appearance of being a ""better"" semi-professional camera without looking overly complex. Recommended for the beginning photographer who wants the option for something delivering both point-and-shoot technology and manual photography tweaking."
1,"Breath of Fresh Air How refreshing, a true must buy for all Clay Aiken fans. Every song is a bankable future hit. Great start to a hopefully long musical carrer for this American Treasure."
0,"It's not the greatest song I love the neptunes and almost everything done by them has struck me as gold, but this song is not that great. Pharrell can sing ok, but the beats is their forte. And this beat is nothing special at all. Just didn't do it for me. Also, they added the radio edit of Hott (cot) damn. The clean version of that track is stupid. Better off just listen to the real version on Lord Willin'. Not the best cd single compilation."
0,"Nick Cage in a bad role Nicky Cage was not very good in this cinematic decomplishment, as he turns in a horrible acting job in this dull and boring movie"
0,"Not good for the Palm TX I just got the newest version of the Palm TX--and I'm not sure if they've changed the dimensions or anything--but this case does not close when I put my Palm TX in it. That's right, it doesn't work with the new TX. There is a small piece of plastic that is supposed to keep the palm in the case, but this is preventing the case from closing because the palm is too large.FYI. I will probably keep the product and just break off the little piece of plastic. But just so you know, don't buy this hardcase if you're getting a NEW Palm TX (with wi-fi and such)."
0,"Don't buy it!!! It doesn't work like it supposed too, so don't buy it. I have tried with win2k and winXP. It can read fine, but I can't delete files on the memory cards. It kept giving me error messages. And seem like their web site doesn't even support this product!!! So, don't buy it. Get a better brand that would support their products!Good luck,"
0,Don't bother This is the worst film I have seen for at least 3 years I was so bored at the end of this I thought I had died and gone to hell. my advice is if you want a bonfire buy this film otherwise avoid it
1,"Great look, compact, brilliant! I found that the Hercules DS510B was beautiful in looks and was stunning. The only flaw I had with it was the bell part of the stand was not easy to fit away in my trumpet case. Other than that, I love it! Would highly recommend it."
1,Pampers Baby Dry Diapers are grrrrrrrrrrreat! SZ 6 Wonderful they are the only diapers that do not brake my grandchild out in a horrible rash!! And at night they hold a lot. They only proplem is I cannot get the large ecomoney pack in SZ 6 in most stores. Only on Amazon.com.
1,"Farberware Fan two I purchased this pan to supplement the 10 piece classic collection. I didn't realize the pan was so big. I have a glass cooktop and the pan is much bigger than the biggest burner. This isn't a problem if what I am cooking has a sauce (e.g. goulash or chicken&dumpings), however, if I am frying something I need to keep to the center of the pan. Still, I have learned how to make use of the different heat zones and like using this pan."
1,"Noir to its very bones The Bottom Line:A ""skid row"" production, Detour is an incredibly minimalist picture that manages to do a lot with very little and emerges as a interestingly-hard edged psychological thriller of a noir; the Hays Code-enforced ending detracts a little from the spirit of the film, but Detour is a diversion worth taking.3.5/4"
1,Great for Preemies I have a 35 week old preemie and I brought my boppie to the NICU w/ me. I use it for feeds and holding him for hours at a time. It is very comfortable to use in the gliders that the nursery has and for keeping my arm from feeling tired while holding him. This is something that every mom should have to help with the growth of their babies. My first child loved hers and at 5 brings it out still for naps and lounging. Give it a try!!!
1,"Exciting and Suspensefull. I highly recommend reading Treasure Island to anyone who likes suspenseful classics. Although Robert Lewis Stevenson wrote it in 1883, the classic is still in print and is appropriate for anyone in grades 5-8. The journey begins with no major problems, but when Jim and the rest of the crew approach their destination everyone on the ship gets their own idea of the way things are going to work. Throughout the story Jim Hawkins, the main character, takes risks for the well-being of himself and his colleagues. Finally, his shipmates lose faith in him but he prevails. The events that take place in this story are extremely exciting and surprising. This book is one of my favorites and should be read by all."
1,"I can't get enough of this 'garbage' Another collection of the hypnotic Shirley Manson tunes. This album is equally entrancing and rocking. I didn't think they could top there 1st cd but they clearly are exceptional musicians. If your a Shirley Manson fan (lover), you've got to get Version 2.0. She will take you away....(again)."
0,"Pampers Baby Dry Size 2 I bought these for my 5 month old because I thought they would be as good as the Swaddlers since Pampers are the best diapers, but I was sadly mistaken. The Baby Dry diapers would leak after only 1 hour of being used. It seemed like the urine would be collected in the front by the turqoise lining, but once it was full, it would bubble up & leak. One night I had to change the crib sheets twice....these diapers were a nightmare!!! Never again would I buy these."
0,"Sigh! I've had this book since year nought. But I have never made anything from it. Having said that I currently have cubed butter and a flour mixture in the freezer. My first stab at making pie from this tome. Obviously my rating of 2 stars does not reflect the quality of the recipes. It's reserved for the wonderful folks at Scribner. I think Ms Beranbaum might be the world's most gifted cake/pie/bread maker but she certainly needs a bit of help when it comes to picking a publisher. My 'Cake Bible' fell apart very quickly as the pages couldn't wait to detach themselves from the feeble spine. This has not happened to my pie bible coz as I said, I've never used it. The sections are not very well organized and having to refer back and forth is annoying. A couple of those built-in bookmarks (like the Gourmet cookbook) would have been so helpful. Anyway, I can go on all day but other reviewers have beaten me to it."
1,"Saves it's cost pronto Great little charger. A little on the slow side. I use it with an Olympus 3000. Have three sets of batteries, one in the camera, one in the case, one in the charger. Never run out of batteries, even when filling up a 128MB card!!!"
0,"Recipe for grief Until this product, I was a huge promoter of HP printers, but the HP 1215 apparently was designed with little attention to Apple compatibility. Unpredictably it refused to print first in 0S9 and then in 0SX. I'm frankly sick of downloading and reloading new drivers only to find they don't work and/or freeze up my entire computer. Because of this printer I've cleaned off my entire hard drive, lost valuable files and programs, and still wound up with a non-functional machine. It's been in my closet for 6 months, and I'm considerably happier with a new bottom-of-the-line Canon printer."
