rotulo,texto
1,"This is simply a wonderful album The quality of the songwriting on this album is just breathtaking, with Elton John and Bernie Taupin at the height of their powers. A real treat for those who have followed Elton from his later classics like ""Don't Shoot me..."", or ""Goodbye Yellow Brick Road"". The further you go back in the Elton John catalogue, the more you realise just how talented a songwriting team John & Taupin are. The added value now is that each album has been digitally remastered, giving a fresher, cleaner sound. I can't recommend this recording highly enough; it should have a place in everyone's CD collection."
1,"Insightful and Interesting This book is about a social worker , who after years of helping others, must save herself from the grip of manic depression. Her struggle to get her life back together after a manic episode will touch your heart. The author shows a great deal of insight in sharing the many ways mental illness has touched her life and the lives of her family members. Overall the book is emotionally powerful, informative and well written."
1,"Even an avid suspense fan won't foresee the surprise ending! When a busload of deaf girls are kidnapped and forced into an old building by murderous convicts within the first pages of this novel, I felt as if this book was doomed to go downhill. The police have surrounded the building, there is little or no chance for escape,and how can the police hope to coordinate a succesful rescue when they cannot communicate with the hostages?Jeffrey Deaver manages to take what seems like a dead end, and turn it into an entertaining roller coaster ride. We watch as the hostage negotiator dances verbally with the head of the convicts to keep him from killing the hostages and as the eldest hostage uses subtle sign language to calm the others.But just as the seige seems to comes to an end, we learn that surrender isn't always a permanent thing."
1,"Hey! Hey! look over here ok now that I've got your attention, if you're looking for a strange but good book then this is the perfect book for you. The Giver by Lois Lowry explains how the Giver gives Jonas thoughts and teaches him different feelings from everyone else. To start, Jonas lives in a very strange town. The community that he lives in is unusually different in its ways and rules. Also, in The Giver, he gives Jonas real thoughts and feelings. The feelings are happy, sad, and miserable. Finally, Jonas leaves the community. Unfortunately, if I tell you why it would ruin the whole story! So you better read this book to find out why Jonas ran away!"
0,"What a joke! I was a huge Kiss fan, ""was"" being the operative word. This album is bad in so many ways. ""Within"" is the only song worth listening to, and you'll probably enjoy it more if you pretend it's someone other than Kiss. We've heard the truth about Kiss over the last few years. They lie to their fans and take every last cent they can get out of them. The fact that there was no-one else doing what they did in the 70s makes them unique, but not great. After all, every snowflake is unique, but it's still just a snowflake."
0,Not Pleased I was very disappointed when I received this bood to discover that it was not written by W.E.B. Griffin (William E. Butterworth) but was written by his son William E. Butterworth IV. I have really enjoyed W.E.B. Griffins writing style and couldn't even read this one as it was entirly different.
1,"long knife this story shows how the efforts of ""george rogers clark"" contributed to the growth of this country. we are used to hearing about the exploits of the revolutionary war but not often do we get a chance to know what was going on in the northwest territory. this is one of the best books i have ever read that covers how important a part was played by what was happening there. i recommend this book as an excellent read and most informative."
0,"Probably the closest you'll get to hardcore on her. I had a friend show me this a while back and believe me this isn't hardcore or anything, but its a lot closer to it than Girls Gone Wild. There isn't any actual Sex in it but it does show a LOT of vagina. Don't get your hopes up yet though. Most of the girls aren't that hot and a lot of their vaginas aren't the best looking either. ESPECIALLY the chick on the front, Kobe or whatever. Hers in the worst. But if you're desperate and actually want to fork over money for grade F quality ""pornography"" than by all means."
1,good muy buen producto. rapido facil y a tiempo la entrega. sin contratiempos en todo el proceso. lo recomiendo a a
0,"Who DOES this remind you of? Lightweight film, but interesting premise. The sons of wealthy, powerful families get inducted into an Ivy League secret society. In return for a vow of mutual lifetime assistance, they get all sorts of advantages (expensive cars, grad school admissions, forgivable student loans, old boy network at the highest levels of society).Best of all, their darkest secrets are whitewashed, covered up, and forgotten.Darned if this doesn't remind us of a skull currently running for president."
1,"You never really know someone This is one of the greatest depictions of a woman gone totally f_____g off the deep end I've ever seen. Which brings me to my point: some women you can get with, use each other and be done with it. And there are those whose diabolical intentions do not come to the fore until it is too late. Lucky for me, I got out of such a situation with minor scrapes a long time ago. This is a great film along the lines of the '78 documentary ""Scared Straight"". As far as the question of choosing between the lovely Anne Archer vs. the ugly Glenn Close...sometimes these things don't matter as much when enough erotic HEAT is being thrown your way. That explains that."
1,Pinocchio 2 Disc Anniversary Edition This movie is a classic and one that I enjoyed as a child growing up. The xtras on this set make it even more endearing for young and old alike.
1,"A source for some information This work contains some interesting information, and can be used as a source in researching particular topics. But it , in my opinion, was never really comprehensive enough. And having had its most recent edition close to fifty years ago is not up-to- date."
0,dont get it Dont get it the graphics suck and u can only get mega man. U should wait to get the progress pet or the double soul PET.
0,"Can you say boring three times fast? Oh, how I wanted to love this book. I love books about nothing, especially when people write about nothing very well. Nothing can be really amusing, and nothing is the perfect prelude to sleep. This book, however, almost induced a coma with all of its pretentious stupidity and references to Pamela Anderson and various serial killers. While the effort to be Deep and Outrageously Funny shown through like a 5000 watt lightbulb, the actual result amounted to one of the most mind-numbing and tedious expositions on Nothing that I have read in a long time. (Read at your own risk.)"
0,"Felt like a rehersal This is one of the worst movies I have seen in a while; next to Rabbit Proof Fence, that is. The cast is excellent and I was very excited to see Hopkins again, but aside from Davis' and Hopkins' roles, I always felt like I was watching people act. Both Paltrow and Madden seemed to over act, force lines and otherwise make me feel like I was watching a play rehearsal.So while the premise for the film is pretty strong, its execution just did not resonate with me one bit. Give it a try, but I wouldn't buy it."
0,If your a yuppie with a wallet deeper than the oceanitsgreat Apple iPod is a total waist of money. No way is it worth more than 200 dollars. If you want a good mp3 player you can get one for less than 200. The Arthos 10gb studio jukebox holds 2x the standard capacity of the ipod 5 and costs 1/2 as much. Also the firewire is a pain in the behind its just more money you have to throw away. Get another brand that is designed for windows. The only thing i liked about it before i replaced it was the LCD with 6 lines that was hot. But that doesnt add up. Dont buy it save your money for something better.
1,I love Willie. I may wear out the CD just by playing it while in the car. The lyrics are so amusing and just fit the two singers and their life style.
0,"LOVE Jim Croce, the ""remastering"" sucks! The remastering makes the recording tinny & lacks depth.Sad thing to do to Jim Croce's music.This was the BEST album made, the music was originally some of the most beautiful, earthy, talented music ever recorded...There may have been some poorly remastered dicks & some not? so you might want to take a chance & see what it sounds like to you. I did NOT get mine here, so cold have been a bad run???The album is fantastic! Jim Croce died WAY too young. He was VERY talented."
1,"Best fit for my baby This product is wonderful !! and the best fit for our baby. We tried Swaddlers because of a friend's recommendation, but our 6 month old got rashes within the first week of using it. We switched back to Baby Dry and the rash was gone within 3 days !! Definitely recommended by me."
0,"Cute, But a Little Cheap... This is a nice costume, but the material is quite cheap. Also, it makes my bust look strange (because the black part is right in the middle of it). But the bottom part is really cute, I LOVE the polka dots on the inner layer of the skirt.I just don't really like it, myself. I think it could be better."
0,"Cheap and horrible design I mounted this mirror on my bike, and THE NEXT DAY I accidentally tipped my bike over on the side that the mirror was mounted on, and the mirror hit the ground. Luckily for me, the mirror is made out of glass and it shattered on impact. I guess this product is too cheap to be made with any type of shock-proof material. Oh well, $15 lost and a lesson learned."
1,IT WAS THE BEST!!! IT WAS THE BEST MOVIE I HAVE EVER SEEN. IT WAS ROMANTIC AS WELL AS EXCITING. NOTHING COULD EVER TOP IT. PATRICK SWAYZE IS THE BEST ACTOR IN THE WORLD AND JENNIFER GREY WAS PRETTY GOOD TOO.
1,"Presto, chango, Magic is fun...WE'RE DEAD! I saw this when I was 12 years old and it freaked the shiznit out of me - low on gore, high on psychological thrils, MAGIC is an old-school horror flick of the classic kind - anchored by Anthony Hopkin's early bravura dual performance as Corky/Fats - but what I remember most about MAGIC isn't the movie, but the scary as hell TV spots that used to run back in the 70s on late-night TV - the bonus materials explain that after the simple, yet very creepy TV ads ran ONCE on TV in New York, they were pulled due to parental complaints about frightening their little tots - they're weren't far of the mark - as the camera pulls in and ""Fats"" intones his evil poem - ""Magic is fun...we're...DEAD!"" - you'll feel your blood turn to ice. A nice DVD to complete your horror collection - [...]"
0,"Another disappointment from Higgins This novella (stretched to 271 pages by wide margins and double-spaced lines) reads like a screenplay treatment. There is very little character development, movie-like dialogue, and plenty of mindless action. The ending is wholly unsatisfying and I'm led to believe that this is simply a set-up for another book. An author with some integrity would have placed Edge of Danger as part 1 of a 2-part novel.If you are dead-set on reading Edge of Danger, don't waste your money. The cover price of .....is an insult and the deeply discounted .......... price will still leave you feeling ripped-off. Go to your local library in the morning and you'll finish Edge of Danger in time for an early lunch. Just don't expect to have any appetite left."
1,"Great Value I bought 2 of these for my daughters, who are 8 and 12. (I feared that they might get lost at some point, and I didn't want to invest in a more expensive iPod.) The controls and menus are easy to use and I had no problems using Windows Media Player to load them. They love them and I think they're a great deal for the price."
0,"Worthless! They peeled off within a week. I cleaned the tub; wiped it down with alcohol and even put a heater in it for a couple hours to warm up the surface. I did everything I could to insure they would adhere well, but to no avail."
1,"Lost Potential in Spy Drama... A young mathematical genius, Tom Jericho, is returning to the British code-breaking center during World War II after he has been sent away due to personal problems. They are now trying to crack the new code that the Nazis use when they communicate with their U-boats, since it seems like the Nazi's are now trying to attack convoys coming from the US with food, ammunition, and other equipment. The British Intelligence Service is very suspicious of how the Nazi;s knew that they had cracked the former code and they begin to scrutinize Tom's past. Enigma can be described as a cat and mouse game that has a soul, but lacks flesh."
0,ok... this book was recommend 2 me from my neighbor. but i dont think that dis is dat gud of a book 2 recommend... i didnt like it 2 much but...
0,"good if your diehard into them If you have all their albums, know all their lyrics, then maybe this is for you, but if your like me, and have heard about 5-6 of their radio songs throughout your life, then you might not like their other stuff. I thought this was WAY SLOW! And way boring. ZZZZZzzzzzzz Not only were the songs soppy slow, but the band was too: they sat on chairs! This reminded me of one of the bad bands you see playing in a casino bar lounge at 2:30 am in the morning in Vegas. Don't get me wrong, slow is not always bad, For example, I think fleet wood mack is way better at this genre. This is just sick, bring a pillow"
0,"Killing Rock and Roll Many analogies fly, comparing Simple Plan to actual musicians. Bands like this, although obviously imitating better bands like Green Day, shouldn't be mentioned in the same sentence let alone ""compared"". Every time the music making department at Atlantic releases something like this, they may sell oodles of records, but they kill music a little more. I agree with that other guy. Go buy Nevermind. Music is an art, not a product. But that's just my opinion."
0,"Definitely not his best work I found the storyline of this book to be very interesting, but it kept deviating away from the story and introduced way too many characters, that in my opinion, had little or nothing to do with the story. It's almost as if this was a short story stretched into novel length. Either that or the author was under a deadline to crank the next book out and this is the result. Still overall it wasn't terrible, but still not one of his best works, that's for certain."
0,"Hypocrite Lecteur! Ladies and gentlemen of the jury, submitted for your consideration: ""The Predators,"" by Mark Washburn and Robert Webb (Stein and Day, 1984). From the jacket blurb:""The fiercest creature in the sea is the Great White Shark. The fiercest creature on land is the Kodiak Brown Bear. What happens when they are doomed by human predators to fight each other in the fiercest specatator sport ever imagined?Can human perversity encompass a combat between a twenty-foot Great White and a two-thousand-pound Kodiak for the sake of entertainment? Big-time promoter Augie Zisk is certain it can, and when the scheme is first brought to him he says only one word: cable. Ten million people will pay to watch an exhibition on television, and General Hidalgo de Carazonzo will be happy to host the show in his banana republic.""A neglected, and now hideously cannibalized, masterpiece.For shame, Mr. Bachelder. J'accuse!"
0,"Not so good Bad, It really couldn't catch my attention. So so acting and not so good effects. The plot has been overdone."
1,"A lot of fun Another film that was showing in selected theaters only - not where I live!!!!! Couldn't wait to get this one after seeing a brief trailer. This movie was a lot of fun. I enjoyed the whole shabang. Easy to watch, great goofy characters, comedy, fantastic landscape, wonderful cartoon costumes, sillyness, and wonders abound. Fast paced beginning - a total improbable romp that is eye poping. Very hollywood, but with a Chinese sensibility.Recommended for the ""noodle dish"" acrobatics as well. Made me want to chow down on those darned noodles!Wonderful cinemaphotography - whats new - Zhang Yimou is an absolute master of cinemaphotography.Go for it!"
0,"Well, now... Several other reviewers have been touting Schnobelen as a 'Mormon, Mason and Satanist'...I hope those people realize that his own writings place him in all three of those groups at once, as well as several others that never existed *and* several that don't even *offer* the services he claims to have obtained.William Schnobelen has nothing of any use to teach anyone who isn't interested in the Religious Right's pandering drivel.While I was researching (Yes, Mr. Schnobelen, the 'R' word) this man's 'works' (and I use the term very loosely indeed), I came across several web-pages and directions to articles -- not only by those of other faiths, but by those of *his own faith* -- that thoroughly debunk the pablum that Schnobelen expects us all to lap up willingly.Avoid this book like the plague."
1,"Excellent I saw this movie back in the 80's when we first got our cable television. I've always wanted to see it again and am also a big Albert Finney fan. It was exactly as I wanted it, bringing up nostalga. It is not a four star (1 1/2) movie for many more than myself. I was excited to have found it and now own it. Thanks."
0,"this guy's the worst......... Can anyone get this bozo to shut up? He's so goddamn annoying, and he seems to be getting worse with every new album.Stop supporting this moron, people and listen to some real music for a change."
1,The Best I saw this movie and LOVED IT!!!! It was the best ever. The soundtrack is really good too. The characters are well delveloped. In my opinion it is a football movie but with horses and lances. This is my all time favorite movie!
0,The thing is huge. Too huge for a car. Put on your 18 wheeler! I guess it is my fault for not checking the size.It is too huge to put on the back of my jetta.Go Jets!
1,Good Product I am very convinced this product is very well made.I like everything about.I will tell my friends about it.Good job.
0,"DO NOT BUY IF IT'S SOLD AND SHIPPED BY AMAZON.COM Amazon sent me a BOOTLEG copy of this album. There was a SCANNED picture as an insert and the cd was a CD-R. There was no back to this case at all.!! They are selling it for full retail price, and sending out bootlegs. Amazon refused to help and told me they will investigate why they are bootleg but that is it..really?? They refused me of a refund as well! Disgusting!"
0,"Boring in the extreme I have persisted for far too long with this dreary, long winded novel and have decided to stop torturing myself in this worthless effort, and closed the book once and for all on page 460 of 896.I still do so reluctantly, as I cannot remember a book so bad that I could not finish it, by one means or another, either by 'skimming' or jumping ahead.For my 'two cents' worth, don't waste your time, unless you have lots and lots to spare and don't mind meandering around with Dorothea (and the provincials) as George Elliot tries to provide a 'study' of Provincial life.In fairness to others, perhaps if it is approached and read as a 'study', it could be bearable, perhaps even an interesting one - I feel sorry for any schoolchild who had this as a set-book!"
0,"Don't really get it...not useful for us at all! I breastfed my daughter until she was a year old and found the Boppy to be pretty much useless. It wasn't the right height for nursing for me and I preferred to use a smaller pillow which conformed to my daughter's body better.We used it once or twice for sitting up, but most of the time, she was supported by my legs or multiple pillows. I think this is one of those products that's either love/hate--for us, it has to be the latter!"
1,"A Classic from an Early Hippie Band The themes of the songs may seem dated to younger listeners, but this album still holds up as the music is fun, interesting and excellent. This was one of the first Hippie bands, and therefore may sound super-outdated to young listeners today, but give it a chance; you won't be sorry. The vocals from these guys are always interesting and enjoyable, even downright beautiful. They are quirky and wonderful, as is this CD."
1,"Yay Some wear and tear on the case, but other than that the DVD itself works great, thanks so much :)"
0,"not finding comfort in food I have read this book in search of a way to view my body and my self more positively. However, this book claims that only the overweight or people with eating disorders lack self-confidence. It is not true, obviously. I am not overweight and never had any eating disorders, but I just don't have a positive self-image. So if you're like me, don't read this book. I couldn't relate to it. The title is misleading."
0,"Evolution is true Science in no way refutes evolution, if used correctly. The authors of this book don't have an inkling of what 'science' is. If you're thinking about buying this book, do yourself a favor and go buy ""On the Origin of Species"" by Charles Darwin. That is, if you care about the truth. This book is full of lies. What it preaches is blatantly wrong and you would be a fool to believe a word of it."
1,"Brilliant Rowan Atkinson I positively LOVE British comedy... Benny Hill, Fawlty Towers, `Allo `Allo, Mr. Bean, Monty Python, Mind Your Language etc. The best of these is Black Adder.Black Adder turns history upside down on its head. Forget whatever you learnt of the Tudors because you will have to re-learn it when you watch the ""real history"" of Black Adder.For those who are unfamiliar with this series, it may take you a while to understand the nuances and ""read between the lines"". But this ability to understand the humor will increase as you watch the series. A general underlying truth is that each episode gets funnier as you move forward in this series.Rowan Atkinson is positively brilliant! Honestly speaking, I think that his performance in this series is just head and shoulders above his comedy in Mr. Bean."
0,"A caveat to DVD purchasers WARNING to anyone thinking of purchasing the D-Vision DVD edition of THE TERROR: It is not the letterbox edition touted in Amazon's writeup (my sole reason for ordering it). REPEAT: It is not widescreen; it is in full-screen format, and appears to have been mastered from an EP VHS source."
1,"Forbidden Planet Movie Review This science fiction movie is one of the top five made in the 1950's and is even superior to the original ""War of the Worlds"" made in the 1950's. The story is truly a superior work as the events portrayed are possible in theory."
1,"cutting edge Got these bits a couple of weeks ago to replace a 20+ year old Craftsman set. The first thing I noticed was the heft of the assortment; same number of bits as the Craftsman, but considerably heavier. Have mainly used a couple of the larger ones on a cast iron grill; they chewed through like it was pine. Have used some of the smaller bits to drill out rusted bolts. You only need to watch the metal filings pile up to know they're doing their job. Haven't used any on wood; seems like overkill and my older ones do fine for those. I only wish the storage box had a more positive lock mechanism. But I do like its bright size markings (sure beats stamped metal, which I can never read in weak light). All in all, I'm very pleased, and the price was GREAT!."
0,"Not worth buying If you are a thinking person, this book is not for you. I could not finish the book, it just could not draw me in. It is comparable to a daytime soap opera, and I am not a fan of soap operas."
1,"Captivating Very simply, I was unable to put this book down. Not unlike some of the other reviewers I too was on my way to Boston on business whilst reading this ""glued to my seat"" book. For the first time, I can say that I was pleased for all the flight delays as I managed to finish reading this book on route. I am an avid reader and can say without reservation that Rapid Descent was easily as good as any of the books being written by some of the better known authors, such as Crichton, Grisham, Cook etc to name a few of my favorites. Well Done Dr. Jack when's the next one....."
0,"A Boring with a German Soldier Although at first glance the book seems to have a good plot, it does not. I didn't like the character of Patty, she seemed so pathetic and she whined too much. The relationship between Patty and Anton is very disturbing, becuase Patty is weird about how she reactes when she is around Anton. The book disturbed me."
0,"Terrible movie This was a total waste of 90 minutes of my life. Terrible, boring, stupid, and senseless don't begin to describe this waste of film. How anyone can rate it 4 or 5 starts is beyond me. I think I'm open minded. I watch horror, slasher, foreign and suspense films all the time. This has nothing going for it. It is NOT scary in the least. And the special effects are about as well done as a high school play. This is just garbage. I would have given it zero stars, but that's not an option."
0,"A wannabe ""War & Peace."" Written during the Great Depression when Americans needed escapism, GWTW and the resulting movie it spawned are primarily responsible for distorting many Americans impressions of slavery, as well as trivializing the horror of the Civil War. If you like your history covered with moonlight and magnolias and sugar-coated beyond all reality GWTW is just what you are looking for. After all, its only fiction. Problem is, too many people over the years have come to regard it as almost gospel. In the end, GWTW is little more than a cheap attempt to create an American version of Tolstoy's ""War & Peace."""
0,it broke I started using this product in the beginning of July and less than two months later it broke. I treated it very carefully and held it properly and followed all the directions. While I was using it it did the job but not for long.
1,"Cristo Vive ...Y viene por una iglesia sin mancha y sin arruga. Preparémonos mas y más, el que esté preparado, sirva aún más, y el que esté en el proceso, ¡Clame, clame, congemidos indecibles! ...para que Nuestro Señor Jesucristo fortalezca nuestros lomos y así continuar este camino de guerra yendo de victoria en victoria y de poder en poder, con Cristo: ¡Llegaremos...!"
0,"Where is Mystery Science Theater 3000 when you really need it? Extremely awful Keanu Reeves stinker that not only lives up to the word of mouth but surpasses it in spades. Keanu proves once and for all on how bad an actor he is with a groundbreaking bad performance and a script that helps him out a lot in proving that. Only his co-stars come out of this film with their heads held up high with great performances by Rachel Weisz, Djimon Hounsou, and Peter Stormare but not even their great performances can salvage this disaster. This is fresh material for the show "" Mystery Science Theater 3000"" and I hope they can get a print of this movie and tear it apart for the garbage it really is."
1,"This is a great album, a thrilling display of funky brilliance and virtuosity. You should listen to this album many many times, like for a whole evening, sipping Martinis or Margaritas or whatever you like to drink. It's one of their greats, along with ""Some Girls"", ""Exile on Main Street"" and the others. This one is notable for the funky guitars, the jazz influence, and Keith Richards sounding like he's singing in Humphrey Bogart's bar in ""Casablanca"". Most importantly, this album appears to have been very carefully made, with a tremendous shot of inspiration, and it gets better every time you hear it."
1,"Great compressor! This is a great compressor, it has pently of power to drive brads and finish nails."
0,"Two things Eragon has two things going for it:1) The cover. Come on, ya gotta admit that it's pretty, right?2) The plural of ""Galbatorix"" is ""Galbatorices""."
1,"Excellent, kids fight over this! This bike was a huge hit for us. Purchased for our son's first birthday an he still tries to ride it at 4! All the kids want to ride it down the hills in our yard and driveway. I even backed into it with my car and we unbent one wheel and it's still fine! We won't be able to pass it on to little brother but may buy him his own..."
0,"Disappointing I give this collection of sonatas only two stars because the way they were recorded only allows two fifths of them to play on my Bose. I returned them once, received a quick replacement - the same. Most of them have to be played in the car. Also, I believe Barenboim plays some of the sonatas too fast - just because he can."
1,"carnivale Wow the whole show was entertaining. It felt like you were in heaven just dancing to the beats along with Ricky, the dancers and the band. The whole concert was great and really entertaining, it felt so much like Carnivale."
0,"No more books about writers. I am tired of books about writers. I'm more tired of books about academics and universities. I give a free pass to Nabokov and that's it. This is purported to have such a great ear for language and move so seamlessly between these different races and classes and I didn't buy a bit of it. It lost me for good at the scene at the spoken word/poetry jam. Ultimately this could turn out to actually represent reality but I certainly hope I would never know about it. Goofy. The snarky Haitian guy, what? Maybe literature is becoming so narrowly focused that it's just writers writing for writers and reviewers (being writers) getting all fired up but it's getting lost on me."
1,"A very REAL book Leaving the issues for apostates and apologists to bicker over, this book simply looks at the lives of people actually in the church: what they do in their normal every day lives. I especially liked the depictions of Latter-Day Saints in nations outside the United States, including the temple trip down the Amazon and a few shots of Victoria Peak! Beliver or no, these pictures tell 10,000 words about a people that are industrious, optimistic, and compassionate. These photos aver that while many continue to criticize and ostracize this church, the Latter-Day Saints frequently hold the moral/ethical highground on their idealogical opponents. How many other 200-year old American religions would stand under this kind of across-the-globe scrutiny? This book contains real, in your face, irrefutable evidence that like them nor not, the Mormons are indeed a ""peculiar people."""
0,"Pretty Basic There is a lot of the author's rantings about big business and mining in his state. His ranting went on for nearly 100 pages, then he goes on to talk about the fall of societies that were doomed from the start. I could have made the analysis that he made about the specific societies that he picked. Personally I was dissipointed that he did not get into idealistic reasons why some societies fail. I would have liked to see more about why very technilogically advanced societies failed throughout history."
0,"Jumping here, jumping there With the exception of 2 or 3 chapters this book is a complete waste of money - too much useless information in a complete messy manner."
0,"William J. Hennessey's Modern Furnishings for the Home Not a bad book and it might be just what you're looking for. 300 pages, all b&w, picture quality is only fair. I guess this book belongs in a quality library but I found it generally disappointing at the price."
1,"Excellent product for thirsty pets I have used this product for several months without any major issues. I would recommend this waterer to any potential buyers. It is sturdy and easy to clean. There is a gurgling noise when the water needs to replenish in the bowl. At first, the sound startled my pets but they are all accustomed to the noise. They adapted from a bowl to the waterer rather quickly. I have three of these waterers in my home. They are shared by three cats and three dogs."
1,"Like a drug you take by listening This music is incredibly relaxing. I have never listened to anything that helps me chill and think like this cd does. It leveled my thinking to a pace where I wasn't slow, but at the same time wasn't racing through ideas too fast to properly consider them. It is like a drug that is taken auditorily, by listening to it, and the effect is clarity of mind, calming of the spirit, and lucidity into one's life."
1,"Great product I looked at another pistol case in a store that was selling for the same price, and this one was much, much better. For what they're charging, I don't think you can beat the quality. The shipping was most prompt as well."
1,Great purchase I chose to buy this during the Black Friday deals weekend and it's a great purchase! This was a great purchase!
1,Steve Perry is AMAZING! LOVVVVVEEE this cd. Steve Perry is outstanding. His vocal range is truly one of a kind and cannot be duplicated. Great music!!!!!
0,"What a stinker How did this piece of junk ever get made? Granted, I'm not a teenager, but I hope that even teenagers have brains enough to recognize a dog when they see one! The only reason I viewed this film is because of the previews, they were pretty comical. But three or four scenes don't make a movie. What's wrong with screen writers these days? Whoever wrote this must have been related to some one in upper management, otherwise it would have never been produced. The writer should have smoked the script, it would have saved us all some money."
0,For Programming Novices Only This is for beginners only. Examples and explainations are very simplistic and do not provide the detail necessary for creating a real world messaging application. Much effort is expended providing information on using the Visual Basic IDE and on creating a UI. The code examples also demonstrate poor programming practices. I would not recommend this book to anyone. If you would like a good MSMQ reference buy Designing Applications with MSMQ by Alan Dickman. It is not perfect but is the most comprehensive text on MSMQ that I have read so far.
0,$3 Bucks Down the Drain - Just Awful I started the movie and could not get past the cheesy presentation or the music. Fast forwarded 7 min and the cheesy presentation was still going with the cheesy music and some cheesy person trying to speak over it. No way I could get through any more of it and turned it off. I generally wait until the end of a movie to give it a fair assessment. In this case I did not need to wait till the end; two minutes was as long as I could stand. Save your money!!!! TOTALLY TRASH
