date,ticker,headline,source
2025-12-31,ITUB4,Itau Unibanco misses revenue forecast amid weak demand,Financial Times
2026-01-01,TSLA,"Tesla reports record revenue, margins expand",CNBC
2026-01-02,TSLA,Tesla faces regulatory probe over accounting practices,Financial Times
2026-01-02,AAPL,Apple files annual 10-K report with SEC,CNBC
2026-01-02,TSLA,Tesla misses revenue forecast amid weak demand,Bloomberg
2026-01-06,VALE3,"Vale unveils new AI-driven product line, market reacts positively",CNBC
2026-01-06,AAPL,"Apple reports record revenue, margins expand",Financial Times
2026-01-06,AAPL,"Apple hit by cyberattack, operations disrupted",Valor Economico
2026-01-06,VALE3,Vale secures major contract with Amazon,CNBC
2026-01-08,JPM,JPMorgan announces $​22.9B stock buyback program,CNBC
2026-01-09,ITUB4,Itau Unibanco announces $​2.3B stock buyback program,Financial Times
2026-01-09,PETR4,Analysts upgrade Petrobras to Buy citing strong cash flow,Bloomberg
2026-01-09,GS,Goldman Sachs faces regulatory probe over accounting practices,CNBC
2026-01-12,PETR4,Petrobras schedules Q2 earnings call for next week,CNBC
2026-01-14,AAPL,Apple secures major contract with Google Cloud,CNBC
2026-01-15,VALE3,Vale board approves routine capital allocation plan,Valor Economico
2026-01-16,JPM,JPMorgan raises full-year guidance after strong quarter,Bloomberg
2026-01-19,MSFT,"Microsoft reports record revenue, margins expand",Valor Economico
2026-01-19,NVDA,"NVIDIA hit by cyberattack, operations disrupted",CNBC
2026-01-20,BBDC4,Bradesco faces regulatory probe over accounting practices,Bloomberg
2026-01-20,ITUB4,Itau Unibanco faces regulatory probe over accounting practices,Valor Economico
2026-01-20,AAPL,Apple schedules Q2 earnings call for next week,Valor Economico
2026-01-20,VALE3,Market volatility hits Vale as bond yields rise,Reuters
2026-01-21,GS,Goldman Sachs faces regulatory probe over accounting practices,Bloomberg
2026-01-21,JPM,JPMorgan misses revenue forecast amid weak demand,Valor Economico
2026-01-22,VALE3,Vale schedules Q4 earnings call for next week,Valor Economico
2026-01-23,GS,"Goldman Sachs reports record revenue, margins expand",Financial Times
2026-01-26,NVDA,NVIDIA CEO resigns amid governance concerns,Reuters
2026-01-26,TSLA,"Tesla hit by cyberattack, operations disrupted",CNBC
2026-01-27,VALE3,Vale downgraded to Sell on rising debt levels,Valor Economico
2026-01-27,GS,Goldman Sachs announces $​8.8B stock buyback program,Bloomberg
2026-01-27,MSFT,Microsoft downgraded to Sell on rising debt levels,CNBC
2026-01-28,AAPL,"Apple reports record revenue, margins expand",CNBC
2026-01-30,AAPL,Analysts upgrade Apple to Buy citing strong cash flow,Bloomberg
2026-01-30,PETR4,"Petrobras unveils new AI-driven product line, market reacts positively",Reuters
2026-02-02,NVDA,NVIDIA appoints new CFO effective next quarter,CNBC
2026-02-02,GS,Market volatility hits Goldman Sachs as bond yields rise,Valor Economico
2026-02-04,BBDC4,Bradesco secures major contract with Microsoft Azure,Financial Times
2026-02-04,TSLA,Analysts upgrade Tesla to Buy citing strong cash flow,CNBC
2026-02-04,GS,"Goldman Sachs beats Q4 earnings expectations, shares jump 2.0%",Valor Economico
2026-02-05,AAPL,Analysts upgrade Apple to Buy citing strong cash flow,Financial Times
2026-02-05,NVDA,NVIDIA files annual 10-K report with SEC,Valor Economico
2026-02-11,GS,Market volatility hits Goldman Sachs as bond yields rise,Financial Times
2026-02-11,MSFT,Microsoft announces $​19.4B stock buyback program,Bloomberg
2026-02-11,BBDC4,"Bradesco beats Q2 earnings expectations, shares jump 5.8%",Financial Times
2026-02-13,PETR4,"Petrobras hit by cyberattack, operations disrupted",Reuters
2026-02-16,BBDC4,Bradesco downgraded to Sell on rising debt levels,Valor Economico
2026-02-16,VALE3,Vale declares record quarterly dividend,Reuters
2026-02-16,AAPL,Apple to present at industry conference in Sao Paulo,Valor Economico
2026-02-18,TSLA,Tesla confirms partnership talks with Amazon,Valor Economico
2026-02-19,AAPL,Apple downgraded to Sell on rising debt levels,Bloomberg
2026-02-19,BBDC4,"Bradesco cuts guidance, stock plunges 4.8%",Financial Times
2026-02-19,PETR4,Petrobras CEO resigns amid governance concerns,Financial Times
2026-02-19,AAPL,Apple confirms partnership talks with Vale,Valor Economico
2026-02-20,MSFT,Microsoft secures major contract with Vale,Bloomberg
2026-02-20,JPM,JPMorgan board approves routine capital allocation plan,Reuters
2026-02-20,ITUB4,Itau Unibanco downgraded to Sell on rising debt levels,Financial Times
2026-02-20,TSLA,Tesla to present at industry conference in Sao Paulo,Bloomberg
2026-02-20,PETR4,Petrobras to present at industry conference in Sao Paulo,Reuters
2026-02-23,TSLA,Tesla confirms partnership talks with Amazon,Bloomberg
2026-02-24,JPM,JPMorgan faces regulatory probe over accounting practices,Reuters
2026-02-24,MSFT,Microsoft to present at industry conference in Sao Paulo,Bloomberg
2026-02-24,JPM,"JPMorgan unveils new AI-driven product line, market reacts positively",Financial Times
2026-02-24,TSLA,"Tesla hit by cyberattack, operations disrupted",Reuters
2026-02-27,MSFT,"Microsoft reports record revenue, margins expand",CNBC
2026-02-27,PETR4,Petrobras schedules Q1 earnings call for next week,Bloomberg
2026-02-27,VALE3,"Vale reports surprise loss in Q3, shares tumble",Financial Times
2026-02-27,AAPL,Apple appoints new CFO effective next quarter,CNBC
2026-02-27,NVDA,"NVIDIA reports record revenue, margins expand",Financial Times
2026-02-27,PETR4,"Petrobras reports record revenue, margins expand",Bloomberg
2026-03-02,AAPL,"Apple hit by cyberattack, operations disrupted",Reuters
2026-03-03,MSFT,Market volatility hits Microsoft as bond yields rise,CNBC
2026-03-03,GS,Goldman Sachs board approves routine capital allocation plan,CNBC
2026-03-04,MSFT,Microsoft declares record quarterly dividend,CNBC
2026-03-05,MSFT,Microsoft declares record quarterly dividend,Reuters
2026-03-06,ITUB4,Itau Unibanco announces $​6.4B stock buyback program,Reuters
2026-03-06,NVDA,NVIDIA to present at industry conference in Sao Paulo,Reuters
2026-03-09,NVDA,NVIDIA faces regulatory probe over accounting practices,Financial Times
2026-03-10,ITUB4,"Itau Unibanco cuts guidance, stock plunges 8.5%",Reuters
2026-03-11,AAPL,"Apple reports record revenue, margins expand",Valor Economico
2026-03-13,JPM,Market volatility hits JPMorgan as bond yields rise,Financial Times
2026-03-16,VALE3,"Vale cuts guidance, stock plunges 15.2%",CNBC
2026-03-16,ITUB4,Itau Unibanco misses revenue forecast amid weak demand,Bloomberg
2026-03-16,NVDA,NVIDIA misses revenue forecast amid weak demand,CNBC
2026-03-17,AAPL,"Apple reports surprise loss in Q1, shares tumble",Bloomberg
2026-03-17,NVDA,NVIDIA downgraded to Sell on rising debt levels,Financial Times
2026-03-17,TSLA,Tesla raises full-year guidance after strong quarter,Financial Times
2026-03-18,TSLA,Tesla schedules Q4 earnings call for next week,CNBC
2026-03-19,BBDC4,Analysts upgrade Bradesco to Buy citing strong cash flow,Valor Economico
2026-03-19,JPM,Analysts upgrade JPMorgan to Buy citing strong cash flow,Financial Times
2026-03-20,GS,"Goldman Sachs beats Q3 earnings expectations, shares jump 6.6%",Financial Times
2026-03-20,NVDA,"NVIDIA reports surprise loss in Q3, shares tumble",Bloomberg
2026-03-20,VALE3,Vale misses revenue forecast amid weak demand,Reuters
2026-03-23,VALE3,Vale announces $​16.0B stock buyback program,Financial Times
2026-03-23,TSLA,Tesla appoints new CFO effective next quarter,CNBC
2026-03-24,NVDA,NVIDIA appoints new CFO effective next quarter,CNBC
2026-03-24,VALE3,Analysts upgrade Vale to Buy citing strong cash flow,Reuters
2026-03-25,MSFT,Microsoft board approves routine capital allocation plan,Reuters
2026-03-25,PETR4,Analysts upgrade Petrobras to Buy citing strong cash flow,Bloomberg
2026-03-26,GS,Goldman Sachs files annual 10-K report with SEC,CNBC
2026-03-26,MSFT,Microsoft raises full-year guidance after strong quarter,Bloomberg
2026-03-27,GS,"Goldman Sachs cuts guidance, stock plunges 9.2%",Reuters
2026-03-27,VALE3,"Vale hit by cyberattack, operations disrupted",Financial Times
2026-03-27,TSLA,Tesla secures major contract with BlackRock,Valor Economico
2026-03-30,AAPL,Apple to present at industry conference in Sao Paulo,CNBC
2026-03-30,ITUB4,Itau Unibanco raises full-year guidance after strong quarter,CNBC
2026-03-31,GS,Goldman Sachs schedules Q1 earnings call for next week,Reuters
2026-04-01,TSLA,"Tesla reports record revenue, margins expand",Reuters
2026-04-01,GS,Market volatility hits Goldman Sachs as bond yields rise,Financial Times
2026-04-02,BBDC4,Bradesco CEO resigns amid governance concerns,Reuters
2026-04-02,AAPL,Market volatility hits Apple as bond yields rise,Reuters
2026-04-06,GS,Market volatility hits Goldman Sachs as bond yields rise,Valor Economico
2026-04-07,JPM,"JPMorgan unveils new AI-driven product line, market reacts positively",Reuters
2026-04-07,JPM,JPMorgan declares record quarterly dividend,Financial Times
2026-04-08,MSFT,"Microsoft beats Q4 earnings expectations, shares jump 16.0%",Valor Economico
2026-04-10,BBDC4,Bradesco CEO resigns amid governance concerns,Financial Times
2026-04-14,JPM,JPMorgan files annual 10-K report with SEC,Valor Economico
2026-04-15,VALE3,"Vale cuts guidance, stock plunges 7.0%",Bloomberg
2026-04-16,MSFT,Microsoft board approves routine capital allocation plan,CNBC
2026-04-17,ITUB4,Itau Unibanco secures major contract with Google Cloud,Reuters
2026-04-17,NVDA,NVIDIA appoints new CFO effective next quarter,CNBC
2026-04-17,TSLA,Analysts upgrade Tesla to Buy citing strong cash flow,CNBC
2026-04-21,JPM,"JPMorgan beats Q1 earnings expectations, shares jump 16.8%",Financial Times
2026-04-22,ITUB4,Itau Unibanco files annual 10-K report with SEC,Bloomberg
2026-04-23,JPM,JPMorgan declares record quarterly dividend,Valor Economico
2026-04-23,ITUB4,Itau Unibanco appoints new CFO effective next quarter,CNBC
2026-04-24,TSLA,"Tesla reports surprise loss in Q3, shares tumble",CNBC
2026-04-24,NVDA,NVIDIA declares record quarterly dividend,CNBC
2026-04-27,NVDA,NVIDIA misses revenue forecast amid weak demand,Reuters
2026-04-27,NVDA,"NVIDIA beats Q1 earnings expectations, shares jump 4.4%",CNBC
2026-04-28,GS,Goldman Sachs files annual 10-K report with SEC,Valor Economico
2026-04-29,NVDA,"NVIDIA reports surprise loss in Q3, shares tumble",CNBC
2026-04-29,AAPL,Apple schedules Q3 earnings call for next week,Bloomberg
2026-04-30,TSLA,"Tesla unveils new AI-driven product line, market reacts positively",Valor Economico
2026-05-01,AAPL,"Apple cuts guidance, stock plunges 16.5%",Reuters
2026-05-01,NVDA,Market volatility hits NVIDIA as bond yields rise,Reuters
2026-05-04,PETR4,"Petrobras unveils new AI-driven product line, market reacts positively",Reuters
2026-05-04,TSLA,Tesla schedules Q2 earnings call for next week,Reuters
2026-05-04,BBDC4,"Bradesco hit by cyberattack, operations disrupted",Bloomberg
2026-05-05,ITUB4,"Itau Unibanco reports surprise loss in Q1, shares tumble",CNBC
2026-05-05,ITUB4,Itau Unibanco announces $​18.9B stock buyback program,Valor Economico
2026-05-05,PETR4,Petrobras CEO resigns amid governance concerns,Bloomberg
2026-05-06,ITUB4,Itau Unibanco announces $​22.9B stock buyback program,Valor Economico
2026-05-06,TSLA,Tesla to present at industry conference in Sao Paulo,Financial Times
2026-05-07,MSFT,"Microsoft reports surprise loss in Q4, shares tumble",Valor Economico
2026-05-07,TSLA,"Tesla unveils new AI-driven product line, market reacts positively",Valor Economico
2026-05-07,ITUB4,Itau Unibanco misses revenue forecast amid weak demand,Valor Economico
2026-05-08,TSLA,Tesla declares record quarterly dividend,Bloomberg
2026-05-08,AAPL,Analysts upgrade Apple to Buy citing strong cash flow,Reuters
2026-05-11,AAPL,"Apple hit by cyberattack, operations disrupted",Reuters
2026-05-11,JPM,"JPMorgan unveils new AI-driven product line, market reacts positively",Valor Economico
2026-05-11,PETR4,Petrobras schedules Q4 earnings call for next week,Reuters
2026-05-12,GS,"Goldman Sachs unveils new AI-driven product line, market reacts positively",Valor Economico
2026-05-12,ITUB4,Itau Unibanco announces $​10.8B stock buyback program,Financial Times
2026-05-13,MSFT,Microsoft confirms partnership talks with Microsoft Azure,Bloomberg
2026-05-13,VALE3,"Vale beats Q3 earnings expectations, shares jump 11.2%",CNBC
2026-05-13,NVDA,NVIDIA files annual 10-K report with SEC,Valor Economico
2026-05-14,GS,Goldman Sachs to present at industry conference in Sao Paulo,Financial Times
2026-05-15,JPM,Analysts upgrade JPMorgan to Buy citing strong cash flow,CNBC
2026-05-15,PETR4,Petrobras raises full-year guidance after strong quarter,Bloomberg
2026-05-18,ITUB4,Itau Unibanco appoints new CFO effective next quarter,Valor Economico
2026-05-20,AAPL,"Apple reports surprise loss in Q2, shares tumble",Valor Economico
2026-05-20,JPM,"JPMorgan beats Q3 earnings expectations, shares jump 13.6%",Bloomberg
2026-05-25,AAPL,Apple secures major contract with Amazon,Bloomberg
